Country,Religions,Ethnic Groups
North Macedonia,"Christianity, Islam, No religion, Other","Albanian, Aromanian, Bosniak, Macedonian, Other, Roma, Serbian, Turkish"
Norway,"Christianity, Islam, No religion, Other","Non-Norwegian, Norwegian"
Oman,"Christianity, Hinduism, Islam",No data
Pakistan,"Christianity, Hinduism, Islam, Other",No data
Palau,"Christianity, No religion, Other","Asian, Carolinian, European, Other, Palauan"
Palestine,"Christianity, Islam, Judaism, No religion, Other","Israeli Jews, Palestinian Arabs"
Panama,"Christianity, No religion, Other","Black, Indigenous, Mestizo, Mulatto, White"
Papua New Guinea,"Christianity, No religion",No data
Paraguay,"Christianity, No religion, Other","Mestizo, White"
Peru,"Christianity, No religion, Other","Black, East Asian, Mestizo, Native, Other, White"
Philippines,"Christianity, Islam, Other","Bicolano, Bisaya, Cebuano, Ilocano, Ilonggo, Other, Tagalog"
Poland,"Christianity, No religion, Other","Other, Polish"
Portugal,No data,No data
Qatar,"Buddhism, Christianity, Hinduism, Islam, Other","Arab, Other, South Asian"
Romania,"Christianity, No religion, Other","Hungarians, Other, Roma, Romanians"
Russia,"Buddhism, Christianity, Islam, No religion, Other","Bashkir, Chechen, Other, Russian, Tatar"
Rwanda,"Christianity, No religion","Hutu, Tutsi, Twa"
São Tomé and Príncipe,"Christianity, Folk/Traditional, No religion, Other",No data
Saint Kitts and Nevis,"Christianity, No religion","African, European, Indian, Mixed, Other"
Saint Lucia,"Christianity, No religion, Other","African, Indian, Mixed"
Saint Vincent and the Grenadines,"Christianity, Hinduism, Islam, No religion, Other","African, European, Indian, Kalinago, Mixed, Other"
Samoa,"Christianity, No religion, Other","Euronesians, Europeans, Other, Samoans"
San Marino,"Christianity, No religion",No data
Saudi Arabia,Islam,"Foreigners, Saudi"
Senegal,"Christianity, Islam, Other","Fula, Jola, Mandinka, Other, Serer, Soninke, Wolof"
Serbia,"Christianity, Islam, No religion","Bosniaks, Hungarians, Other, Roma, Serbs"
Seychelles,"Christianity, Hinduism, Islam, Other","Other, Seychellois Creoles"
Sierra Leone,"Christianity, Islam, Other","Fula, Kono, Koranko, Krio, Limba, Loko, Mandingo, Mende, Sherbro, Susu, Temne"
Singapore,"Buddhism, Christianity, Folk/Traditional, Hinduism, Islam, No religion, Other","Chinese, Indian, Malay, Other"
Slovakia,"Christianity, No religion, Other","Hungarians, Other, Romani, Slovaks"
Slovenia,"Christianity, No religion, Other",No data
Solomon Islands,"Christianity, Folk/Traditional, No religion","Melanesian, Micronesian, Other, Polynesian"
Somalia,Islam,"Other, Somali"
South Africa,"Christianity, Folk/Traditional, Hinduism, Islam, No religion, Other","Black, Coloured, Indian or Asian, Other, White"
South Korea,"Buddhism, Christianity, No religion, Other","Korean, Other"
South Sudan,"Christianity, Folk/Traditional, Islam, No religion",No data
Spain,"Christianity, No religion, Other",No data
Sri Lanka,"Buddhism, Christianity, Hinduism, Islam, No religion","Indian Tamils, Other, Sinhalese, Sri Lankan Moors, Sri Lankan Tamils"
Sudan,"Christianity, Islam","Beja, Egyptian, Fur, Nuba, Nubian, Other, Sudanese Arab"
Suriname,"Christianity, Folk/Traditional, Hinduism, Islam, Judaism, No religion, Other","Chinese, Creole, Hindustani, Indigenous, Javanese, Maroon, Multiracial, Other"
Sweden,No data,No data
Switzerland,"Christianity, Islam, No religion, Other","Foreign, Swiss"
Syria,"Christianity, Islam, Other","Arab, Kurdish"
Tajikistan,"Christianity, Islam, No religion, Other","Kyrgyz, Other, Russians, Tajiks, Uzbeks"
Tanzania,"Christianity, Islam, No religion",No data
Thailand,"Buddhism, Christianity, Islam, Other","Chinese, Malay, Other, Thai"
Timor-Leste,"Christianity, Islam",No data
Togo,"Christianity, Folk/Traditional, Islam, Other","African, Non-African"
Tonga,"Christianity, No religion, Other","Other, Tongan"
Trinidad and Tobago,"Christianity, Hinduism, Islam, Other","African, Indian, Mixed, Other"
Tunisia,"Islam, Other","Arabs, Berbers, Jews and others"
Turkey,"Islam, No religion, Other",No data
Turkmenistan,"Christianity, Islam, No religion, Other","Baloch, Other, Russians, Turkmens, Uzbeks"
Tuvalu,"Christianity, Other","Other, Tuvaluans"
Uganda,"Christianity, Islam, No religion, Other","Acholi, Baganda, Bagisu, Bakiga, Banyankole, Basoga, Iteso, Langi, Lugbara, Other"
Ukraine,"Christianity, No religion, Other","Other, Russians, Ukrainians"
United Arab Emirates,"Christianity, Islam","Egyptian, Emirati, Filipino, Other, South Asian"
United Kingdom,"Christianity, Judaism, Other","Asian, Black, Mixed, Other, White"
United States,"Christianity, Judaism, No religion, Other","Asian, Black, Hispanic or Latino, Multiracial, Native American, Pacific Islander, White"
Uruguay,"Christianity, No religion, Other","Black, East Asian, Indigenous, Other, White"
Uzbekistan,"Christianity, Islam, No religion, Other","Karakalpaks, Kazakhs, Other, Russians, Tajiks, Uzbeks"
Vanuatu,"Christianity, Folk/Traditional, No religion, Other","Ni-Vanuatu, Other"
Vatican City,Christianity,No data
Venezuela,"Christianity, Folk/Traditional, No religion, Other","Black, Moreno, Other, White"
Vietnam,"Christianity, No religion","Kinh Vietnamese, Other"
Yemen,"Islam, Other","Afro-Arabs, Arabs, Indo - Pakistani, Other, Somalis"
Zambia,"Christianity, Islam, No religion","Bemba, Bisa, Chewa, Chishinga, Chokwe, Ila, Kaonde, Kunda, Lala, Lamba, Lenje, Lozi, Lunda, Lungu, Luvale, Mambwe, Mbunda, Namwanga, Ngoni, Ngumbo, Nkoya, Nsenga, Other, Senga, Soli, Tabwa, Tonga, Tumbuka, Ushi"
Zimbabwe,"Christianity, Folk/Traditional, No religion, Other","Coloured, European, Other, Zimbabwean"
